,keyword,frequency
0,media,470
1,work,399
2,experience,394
3,data,295
4,research,274
5,news,250
6,skills,247
7,content,231
8,team,225
9,social,217
10,ability,199
11,including,173
12,information,161
13,digital,151
14,university,150
15,new,146
16,communications,144
17,working,141
18,job,140
19,marketing,138
20,program,135
21,strong,135
22,journalism,131
23,support,128
24,development,128
25,position,116
26,software,110
27,projects,104
28,apply,101
29,public,101
30,knowledge,101
31,writing,101
32,stories,101
33,candidates,100
34,web,99
35,management,98
36,develop,98
37,design,98
38,world,97
39,degree,93
40,status,93
41,related,93
42,include,91
43,business,91
44,programs,90
45,opportunity,89
46,through,89
47,internship,89
48,online,87
49,learning,86
50,applications,86
51,communication,82
52,staff,82
53,journalists,81
54,company,80
55,environment,80
56,national,80
57,production,80
58,professional,79
59,years,78
60,excellent,78
61,please,78
62,preferred,77
63,relations,77
64,time,76
65,education,75
66,platforms,75
67,employer,74
68,application,74
69,internal,74
70,students,74
71,provide,73
72,required,73
73,help,72
74,candidate,71
75,editorial,71
76,using,69
77,systems,68
78,reporting,68
79,ideas,68
80,analysis,67
81,responsibilities,67
82,technology,67
83,manage,66
84,employment,66
85,creative,66
86,across,66
87,local,66
88,equal,65
89,college,65
90,department,64
91,science,64
92,tools,64
93,website,64
94,school,63
95,areas,63
96,gender,62
97,looking,62
98,events,62
99,student,62
